name_muni,obitos,residentes,renda_media_dom,analfabetismo,mortalidade
Abaiara,36,10496,227.31,28.4,3.4298780487804876
Acarape,43,15338,256.06,21.5,2.803494588603469
Acarau,216,57551,246.49,28.3,3.753192820281142
Acopiara,258,51160,263.74,32.9,5.043002345582487
Aiuaba,51,16203,199.36,34.3,3.1475652656915387
Alcantaras,29,10771,243.41,28.3,2.6924148175656857
Altaneira,23,6856,237.25,33.1,3.354725787631272
Alto Santo,52,16359,262.88,28.5,3.1786784033253865
Amontada,100,39232,181.48,25,2.5489396411092984
Antonina Do Norte,43,6984,240.49,31.5,6.15693012600229
Apuiares,37,13925,221.72,25.2,2.657091561938959
Aquiraz,209,72628,344.5,20.1,2.8776780305116487
Aracati,288,69159,343.59,19.3,4.164317008632282
Aracoiaba,114,25391,240.12,29.9,4.489779843251546
Ararenda,44,10491,199.92,34.2,4.19407110856925
Araripe,107,20685,193.18,31.1,5.172830553541213
Aratuba,45,11529,215.94,24.3,3.9032006245121
Arneiroz,17,7650,269.68,30,2.2222222222222223
Assare,82,22445,278.47,31.3,3.6533749164624636
Aurora,116,24566,252.34,26.8,4.7219734592526255
Baixio,22,6026,264.79,23.8,3.6508463325589116
Banabuiu,72,17315,225.1,27.8,4.15824429685244
Barbalha,1282,55323,361.63,17.6,23.173002187155433
Barreira,52,19573,241.79,25.7,2.656720993204925
Barro,101,21514,249.5,23.5,4.694617458399183
Barroquinha,49,14476,191.16,35.7,3.3849129593810448
Baturite,154,33321,279.97,21.8,4.6217100327121035
Beberibe,169,49311,301.5,24.5,3.427227190687676
Bela Cruz,79,30878,219.61,25.1,2.5584558585400607
Boa Viagem,278,52498,246.69,32.3,5.295439826279096
Brejo Santo,380,45193,318.84,21.6,8.40838182904432
Camocim,240,60158,259.47,26.3,3.98949433159347
Campos Sales,132,26506,300.07,26.8,4.980004527276844
Caninde,470,74473,267.23,23.6,6.3110120446336255
Capistrano,52,17062,202.69,25.4,3.0477083577540736
Caridade,54,20020,201.93,28.3,2.6973026973026974
Carire,81,18347,223.75,29,4.414890717828528
Caririacu,123,26393,241.49,29.7,4.660326601750464
Carius,62,18567,237.33,31.4,3.3392578230193353
Carnaubal,74,16746,220.78,29,4.418965723157769
Cascavel,204,66142,304.07,21.4,3.0842732303226392
Catarina,47,18745,243.71,30.3,2.507335289410509
Catunda,47,9952,221.12,26.6,4.722668810289389
Caucaia,1045,325441,366.8,12.4,3.2110274980718474
Cedro,102,24527,313.61,28.2,4.158682268520406
Chaval,43,12615,205.38,31.8,3.4086405073325405
Choro,37,12853,167.46,31.6,2.8787053606161983
Chorozinho,75,18915,275.03,27.9,3.9651070578905627
Coreau,79,21954,208.29,35.7,3.598433087364489
Crateus,561,72812,366.61,24.5,7.704773938361808
Crato,690,121428,459.98,13.9,5.682379681786737
Croata,83,17069,167.75,35.5,4.862616439158709
Cruz,96,22479,279.42,24.6,4.270652609101829
Deputado Irapuan Pinheiro,33,9095,230.02,32.2,3.628367234744365
Erere,24,6840,239.92,30.5,3.5087719298245617
Eusebio,128,46033,605.08,13.3,2.780613907414246
Farias Brito,86,19007,227.42,27.1,4.5246488135949905
Forquilha,51,21786,291.33,24.4,2.340952905535665
Fortaleza,17106,2452185,812.61,6.8,6.975819524220236
Fortim,42,14817,261.19,25.2,2.8345818991698724
Frecheirinha,43,12991,244.39,32.5,3.3099838349626665
General Sampaio,28,6218,239.32,31.7,4.503055644901898
Graca,60,15049,192.89,34.5,3.986975878795933
Granja,167,52645,170.49,39.2,3.172191091271726
Granjeiro,12,4629,221.06,28.2,2.592352559948153
Groairas,22,10228,303.35,24,2.150958154086821
Guaiuba,68,24091,231.79,22.5,2.8226308579967623
Guaraciaba Do Norte,171,37775,242.8,28,4.526803441429516
Guaramiranga,16,4164,281.61,17.5,3.8424591738712777
Hidrolandia,72,19325,241.33,28.9,3.725743855109961
Horizonte,147,55187,317.75,15.3,2.663670792034356
Ibaretama,36,12922,199.25,32.5,2.785946447918279
Ibiapina,118,23808,255.58,23.6,4.956317204301075
Ibicuitinga,37,11335,192.66,27.8,3.2642258491398324
Icapui,45,18392,277.5,25.4,2.446715963462375
Ico,363,65456,268.98,30.4,5.545710095331215
Iguatu,718,96495,426.08,22.2,7.440800041452925
Independencia,98,25573,257.47,27.4,3.8321667383568605
Ipaporanga,41,11343,178.98,35.6,3.6145640483117343
Ipaumirim,47,12009,372.75,26.3,3.9137313681405614
Ipu,183,40296,295.1,27.6,4.541393686718285
Ipueiras,193,37862,219.26,30.9,5.097459193914744
Iracema,56,13722,325.83,25.5,4.081037749599184
Iraucuba,78,22324,204.55,25.1,3.4939974914889804
Itaicaba,26,7316,291.85,21.6,3.553854565336249
Itaitinga,94,35817,274.06,16.7,2.6244520758299132
Itapaje,169,48350,251.11,23,3.4953464322647365
Itapipoca,541,116065,259.1,21.9,4.661181234652997
Itapiuna,48,18626,205.87,28.6,2.5770428433372707
Itarema,102,37471,209.93,24.2,2.7221050946064955
Itatira,52,18894,194.31,29.7,2.7521964644860804
Jaguaretama,74,17863,244.87,27.7,4.142641213681912
Jaguaribara,43,10399,283.99,25.7,4.135012982017502
Jaguaribe,151,34409,282.19,24.8,4.388386759278095
Jaguaruana,105,32236,270.77,26.7,3.257227943913637
Jardim,112,26688,240.02,26.5,4.196642685851319
Jati,18,7660,263.65,25.3,2.349869451697128
Jijoca De Jericoacoara,55,17002,363.51,24.2,3.2349135395835784
Juazeiro Do Norte,1287,249939,433.27,15.7,5.1492564185661305
Jucas,115,23807,224.19,30.5,4.830512034275633
Lavras Da Mangabeira,177,31090,263.43,26.6,5.693148922483114
Limoeiro Do Norte,276,56264,398.67,18.8,4.90544575572302
Madalena,66,18088,220.56,26.3,3.648827952233525
Maracanau,653,209057,355.11,9.4,3.1235500365928908
Maranguape,326,113561,289.84,15.5,2.8707038507938463
Marco,78,24703,265.97,26.9,3.1575112334534268
Martinopole,36,10214,229.15,28.3,3.5245741139612297
Massape,114,35191,224.68,28,3.239464635844392
Mauriti,159,44240,231.84,28.2,3.594032549728752
Meruoca,42,13693,257.22,17.8,3.0672606441247354
Milagres,82,28316,260.18,25.8,2.895889249894053
Milha,64,13086,258.16,27.1,4.8907229099801315
Miraima,32,12800,187.2,32.6,2.5
Missao Velha,87,34274,292.58,26.2,2.538367275485791
Mombaca,183,42690,242.34,33.4,4.286718200983837
Monsenhor Tabosa,74,16705,234.1,30.1,4.4298114337024845
Morada Nova,267,62065,273.71,27.1,4.301941512929993
Moraujo,25,8070,171.9,30.2,3.0978934324659235
Morrinhos,64,20700,203.09,26,3.0917874396135265
Mucambo,76,14102,251.89,31.5,5.389306481350163
Mulungu,29,11485,241.5,22.4,2.525032651284284
Nova Olinda,69,14256,267.63,21.1,4.84006734006734
Nova Russas,158,30965,301.47,25.2,5.10253512029711
Novo Oriente,94,27453,241.49,32.1,3.424033803227334
Ocara,78,24007,206.1,29.6,3.2490523597284127
Oros,120,21389,292.21,29.5,5.610360465659919
Pacajus,148,61838,347.59,18,2.3933503670881984
Pacatuba,125,72299,329.82,9.5,1.7289312438622941
Pacoti,37,11607,277.27,19.4,3.1877315413112775
Pacuja,27,5986,261.25,27.7,4.510524557300368
Palhano,31,8866,281.25,26.7,3.4965034965034967
Palmacia,35,12005,313.46,26.2,2.9154518950437316
Paracuru,83,31636,316.17,20,2.6235933746364903
Paraipaba,67,30041,281.12,18.9,2.2302852767883894
Parambu,125,31309,207.87,36.6,3.9924622313072913
Paramoti,35,11308,191.48,29.3,3.0951538733639903
Pedra Branca,210,41890,221.47,32.8,5.01312962520888
Penaforte,33,8226,264.64,23.6,4.011670313639679
Pentecoste,134,35400,256.85,22.9,3.785310734463277
Pereiro,72,15757,200.5,29.8,4.569397727993907
Pindoretama,60,18683,294.06,22.3,3.211475673071776
Piquet Carneiro,78,15467,215.09,26.4,5.0429947630439
Pires Ferreira,37,10216,188.75,28.9,3.6217697729052465
Poranga,69,12001,209.51,32.2,5.749520873260561
Porteiras,32,15061,215.84,29.6,2.12469291547706
Potengi,43,10276,212.72,33.7,4.1845075905021405
Potiretama,25,6126,234.58,26.6,4.0809663728370875
Quiterianopolis,66,19921,206.12,32.2,3.3130866924351188
Quixada,432,80604,310.28,20.9,5.359535506922733
Quixelo,63,15000,239.34,36.9,4.2
Quixeramobim,374,71887,314.56,23.3,5.202609651258225
Quixere,72,19412,254.65,25.3,3.70904595095817
Redencao,116,26415,267.52,23.1,4.391444255158054
Reriutaba,60,19455,255.92,29.5,3.0840400925212026
Russas,289,69833,368.95,18.8,4.1384445749144385
Saboeiro,71,15752,218.11,30.8,4.507364144235653
Salitre,51,15453,176.47,39.3,3.3003300330033003
Santana Do Acarau,89,29946,214.08,27,2.972016295999466
Santana Do Cariri,71,17170,210.64,28,4.13511939429237
Santa Quiteria,145,42763,229.69,26.1,3.390781750578771
Sao Benedito,221,44178,257.18,25.9,5.002489927113042
Sao Goncalo Do Amarante,146,43890,301.35,17.8,3.326498063340168
Sao Joao Do Jaguaribe,42,7900,371.89,25.7,5.3164556962025316
Sao Luis Do Curu,44,12332,252.2,20.9,3.5679532922478105
Senador Pompeu,152,26469,280.59,25.9,5.742566776228796
Senador Sa,12,6852,211.97,31.1,1.7513134851138354
Sobral,2301,188233,436.87,16.4,12.224211482577443
Solonopole,66,17665,266.77,24.7,3.7362015284460797
Tabuleiro Do Norte,119,29204,373.81,22.3,4.074784276126558
Tamboril,104,25451,208.81,30.2,4.0862834466229225
Tarrafas,26,8910,212.94,35.9,2.9180695847362514
Taua,306,55716,298.93,27,5.49213870342451
Tejucuoca,38,16827,198.87,26.8,2.258275390741071
Tiangua,301,68892,384.26,23.9,4.369157521918365
Trairi,153,51422,203.65,22.2,2.9753801874683985
Tururu,36,14408,183.54,27.3,2.498611882287618
Ubajara,145,31787,313.73,23.1,4.561613238116211
Umari,38,7545,223.05,30.8,5.036447978793903
Umirim,46,18802,190.79,27.7,2.446548239548984
Uruburetama,67,19765,263.64,22.6,3.389830508474576
Uruoca,41,12883,181.26,37.1,3.1824885508033844
Varjota,85,17593,279.55,24.7,4.831467060762804
Varzea Alegre,193,38434,273.72,27.2,5.021595462351043
Vicosa Do Ceara,219,54955,202.74,31.8,3.9850787007551634
