 Mortalidade - Ceará
Óbitos p/Ocorrênc por Município
Período:2010
"Município";"Óbitos_p/Ocorrênc"
"230010 ABAIARA";36
"230015 ACARAPE";43
"230020 ACARAU";216
"230030 ACOPIARA";258
"230040 AIUABA";51
"230050 ALCANTARAS";29
"230060 ALTANEIRA";23
"230070 ALTO SANTO";52
"230075 AMONTADA";100
"230080 ANTONINA DO NORTE";43
"230090 APUIARES";37
"230100 AQUIRAZ";209
"230110 ARACATI";288
"230120 ARACOIABA";114
"230125 ARARENDA";44
"230130 ARARIPE";107
"230140 ARATUBA";45
"230150 ARNEIROZ";17
"230160 ASSARE";82
"230170 AURORA";116
"230180 BAIXIO";22
"230185 BANABUIU";72
"230190 BARBALHA";1282
"230195 BARREIRA";52
"230200 BARRO";101
"230205 BARROQUINHA";49
"230210 BATURITE";154
"230220 BEBERIBE";169
"230230 BELA CRUZ";79
"230240 BOA VIAGEM";278
"230250 BREJO SANTO";380
"230260 CAMOCIM";240
"230270 CAMPOS SALES";132
"230280 CANINDE";470
"230290 CAPISTRANO";52
"230300 CARIDADE";54
"230310 CARIRE";81
"230320 CARIRIACU";123
"230330 CARIUS";62
"230340 CARNAUBAL";74
"230350 CASCAVEL";204
"230360 CATARINA";47
"230365 CATUNDA";47
"230370 CAUCAIA";1045
"230380 CEDRO";102
"230390 CHAVAL";43
"230393 CHORO";37
"230395 CHOROZINHO";75
"230400 COREAU";79
"230410 CRATEUS";561
"230420 CRATO";690
"230423 CROATA";83
"230425 CRUZ";96
"230426 DEPUTADO IRAPUAN PINHEIRO";33
"230427 ERERE";24
"230428 EUSEBIO";128
"230430 FARIAS BRITO";86
"230435 FORQUILHA";51
"230440 FORTALEZA";17106
"230445 FORTIM";42
"230450 FRECHEIRINHA";43
"230460 GENERAL SAMPAIO";28
"230465 GRACA";60
"230470 GRANJA";167
"230480 GRANJEIRO";12
"230490 GROAIRAS";22
"230495 GUAIUBA";68
"230500 GUARACIABA DO NORTE";171
"230510 GUARAMIRANGA";16
"230520 HIDROLANDIA";72
"230523 HORIZONTE";147
"230526 IBARETAMA";36
"230530 IBIAPINA";118
"230533 IBICUITINGA";37
"230535 ICAPUI";45
"230540 ICO";363
"230550 IGUATU";718
"230560 INDEPENDENCIA";98
"230565 IPAPORANGA";41
"230570 IPAUMIRIM";47
"230580 IPU";183
"230590 IPUEIRAS";193
"230600 IRACEMA";56
"230610 IRAUCUBA";78
"230620 ITAICABA";26
"230625 ITAITINGA";94
"230630 ITAPAGE";169
"230640 ITAPIPOCA";541
"230650 ITAPIUNA";48
"230655 ITAREMA";102
"230660 ITATIRA";52
"230670 JAGUARETAMA";74
"230680 JAGUARIBARA";43
"230690 JAGUARIBE";151
"230700 JAGUARUANA";105
"230710 JARDIM";112
"230720 JATI";18
"230725 JIJOCA DE JERICOACOARA";55
"230730 JUAZEIRO DO NORTE";1287
"230740 JUCAS";115
"230750 LAVRAS DA MANGABEIRA";177
"230760 LIMOEIRO DO NORTE";276
"230763 MADALENA";66
"230765 MARACANAU";653
"230770 MARANGUAPE";326
"230780 MARCO";78
"230790 MARTINOPOLE";36
"230800 MASSAPE";114
"230810 MAURITI";159
"230820 MERUOCA";42
"230830 MILAGRES";82
"230835 MILHA";64
"230837 MIRAIMA";32
"230840 MISSAO VELHA";87
"230850 MOMBACA";183
"230860 MONSENHOR TABOSA";74
"230870 MORADA NOVA";267
"230880 MORAUJO";25
"230890 MORRINHOS";64
"230900 MUCAMBO";76
"230910 MULUNGU";29
"230920 NOVA OLINDA";69
"230930 NOVA RUSSAS";158
"230940 NOVO ORIENTE";94
"230945 OCARA";78
"230950 OROS";120
"230960 PACAJUS";148
"230970 PACATUBA";125
"230980 PACOTI";37
"230990 PACUJA";27
"231000 PALHANO";31
"231010 PALMACIA";35
"231020 PARACURU";83
"231025 PARAIPABA";67
"231030 PARAMBU";125
"231040 PARAMOTI";35
"231050 PEDRA BRANCA";210
"231060 PENAFORTE";33
"231070 PENTECOSTE";134
"231080 PEREIRO";72
"231085 PINDORETAMA";60
"231090 PIQUET CARNEIRO";78
"231095 PIRES FERREIRA";37
"231100 PORANGA";69
"231110 PORTEIRAS";32
"231120 POTENGI";43
"231123 POTIRETAMA";25
"231126 QUITERIANOPOLIS";66
"231130 QUIXADA";432
"231135 QUIXELO";63
"231140 QUIXERAMOBIM";374
"231150 QUIXERE";72
"231160 REDENCAO";116
"231170 RERIUTABA";60
"231180 RUSSAS";289
"231190 SABOEIRO";71
"231195 SALITRE";51
"231200 SANTANA DO ACARAU";89
"231210 SANTANA DO CARIRI";71
"231220 SANTA QUITERIA";145
"231230 SAO BENEDITO";221
"231240 SAO GONCALO DO AMARANTE";146
"231250 SAO JOAO DO JAGUARIBE";42
"231260 SAO LUIS DO CURU";44
"231270 SENADOR POMPEU";152
"231280 SENADOR SA";12
"231290 SOBRAL";2301
"231300 SOLONOPOLE";66
"231310 TABULEIRO DO NORTE";119
"231320 TAMBORIL";104
"231325 TARRAFAS";26
"231330 TAUA";306
"231335 TEJUCUOCA";38
"231340 TIANGUA";301
"231350 TRAIRI";153
"231355 TURURU";36
"231360 UBAJARA";145
"231370 UMARI";38
"231375 UMIRIM";46
"231380 URUBURETAMA";67
"231390 URUOCA";41
"231395 VARJOTA";85
"231400 VARZEA ALEGRE";193
"231410 VICOSA DO CEARA";219
"Total";43961
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
