 População Residente - Ceará
População residente por Município
Período:2010
"Município";"População_residente"
"230010 ABAIARA";10496
"230015 ACARAPE";15338
"230020 ACARAU";57551
"230030 ACOPIARA";51160
"230040 AIUABA";16203
"230050 ALCANTARAS";10771
"230060 ALTANEIRA";6856
"230070 ALTO SANTO";16359
"230075 AMONTADA";39232
"230080 ANTONINA DO NORTE";6984
"230090 APUIARES";13925
"230100 AQUIRAZ";72628
"230110 ARACATI";69159
"230120 ARACOIABA";25391
"230125 ARARENDA";10491
"230130 ARARIPE";20685
"230140 ARATUBA";11529
"230150 ARNEIROZ";7650
"230160 ASSARE";22445
"230170 AURORA";24566
"230180 BAIXIO";6026
"230185 BANABUIU";17315
"230190 BARBALHA";55323
"230195 BARREIRA";19573
"230200 BARRO";21514
"230205 BARROQUINHA";14476
"230210 BATURITE";33321
"230220 BEBERIBE";49311
"230230 BELA CRUZ";30878
"230240 BOA VIAGEM";52498
"230250 BREJO SANTO";45193
"230260 CAMOCIM";60158
"230270 CAMPOS SALES";26506
"230280 CANINDE";74473
"230290 CAPISTRANO";17062
"230300 CARIDADE";20020
"230310 CARIRE";18347
"230320 CARIRIACU";26393
"230330 CARIUS";18567
"230340 CARNAUBAL";16746
"230350 CASCAVEL";66142
"230360 CATARINA";18745
"230365 CATUNDA";9952
"230370 CAUCAIA";325441
"230380 CEDRO";24527
"230390 CHAVAL";12615
"230393 CHORO";12853
"230395 CHOROZINHO";18915
"230400 COREAU";21954
"230410 CRATEUS";72812
"230420 CRATO";121428
"230423 CROATA";17069
"230425 CRUZ";22479
"230426 DEPUTADO IRAPUAN PINHEIRO";9095
"230427 ERERE";6840
"230428 EUSEBIO";46033
"230430 FARIAS BRITO";19007
"230435 FORQUILHA";21786
"230440 FORTALEZA";2452185
"230445 FORTIM";14817
"230450 FRECHEIRINHA";12991
"230460 GENERAL SAMPAIO";6218
"230465 GRACA";15049
"230470 GRANJA";52645
"230480 GRANJEIRO";4629
"230490 GROAIRAS";10228
"230495 GUAIUBA";24091
"230500 GUARACIABA DO NORTE";37775
"230510 GUARAMIRANGA";4164
"230520 HIDROLANDIA";19325
"230523 HORIZONTE";55187
"230526 IBARETAMA";12922
"230530 IBIAPINA";23808
"230533 IBICUITINGA";11335
"230535 ICAPUI";18392
"230540 ICO";65456
"230550 IGUATU";96495
"230560 INDEPENDENCIA";25573
"230565 IPAPORANGA";11343
"230570 IPAUMIRIM";12009
"230580 IPU";40296
"230590 IPUEIRAS";37862
"230600 IRACEMA";13722
"230610 IRAUCUBA";22324
"230620 ITAICABA";7316
"230625 ITAITINGA";35817
"230630 ITAPAGE";48350
"230640 ITAPIPOCA";116065
"230650 ITAPIUNA";18626
"230655 ITAREMA";37471
"230660 ITATIRA";18894
"230670 JAGUARETAMA";17863
"230680 JAGUARIBARA";10399
"230690 JAGUARIBE";34409
"230700 JAGUARUANA";32236
"230710 JARDIM";26688
"230720 JATI";7660
"230725 JIJOCA DE JERICOACOARA";17002
