 Renda média domiciliar per capita - Ceará
Renda média domic. per capita por Município
Período:2010
"Município";"Renda_média_domic._per_capita"
"230010 ABAIARA";227,31
"230015 ACARAPE";256,06
"230020 ACARAU";246,49
"230030 ACOPIARA";263,74
"230040 AIUABA";199,36
"230050 ALCANTARAS";243,41
"230060 ALTANEIRA";237,25
"230070 ALTO SANTO";262,88
"230075 AMONTADA";181,48
"230080 ANTONINA DO NORTE";240,49
"230090 APUIARES";221,72
"230100 AQUIRAZ";344,50
"230110 ARACATI";343,59
"230120 ARACOIABA";240,12
"230125 ARARENDA";199,92
"230130 ARARIPE";193,18
"230140 ARATUBA";215,94
"230150 ARNEIROZ";269,68
"230160 ASSARE";278,47
"230170 AURORA";252,34
"230180 BAIXIO";264,79
"230185 BANABUIU";225,10
"230190 BARBALHA";361,63
"230195 BARREIRA";241,79
"230200 BARRO";249,50
"230205 BARROQUINHA";191,16
"230210 BATURITE";279,97
"230220 BEBERIBE";301,50
"230230 BELA CRUZ";219,61
"230240 BOA VIAGEM";246,69
"230250 BREJO SANTO";318,84
"230260 CAMOCIM";259,47
"230270 CAMPOS SALES";300,07
"230280 CANINDE";267,23
"230290 CAPISTRANO";202,69
"230300 CARIDADE";201,93
"230310 CARIRE";223,75
"230320 CARIRIACU";241,49
"230330 CARIUS";237,33
"230340 CARNAUBAL";220,78
"230350 CASCAVEL";304,07
"230360 CATARINA";243,71
"230365 CATUNDA";221,12
"230370 CAUCAIA";366,80
"230380 CEDRO";313,61
"230390 CHAVAL";205,38
"230393 CHORO";167,46
"230395 CHOROZINHO";275,03
"230400 COREAU";208,29
"230410 CRATEUS";366,61
"230420 CRATO";459,98
"230423 CROATA";167,75
"230425 CRUZ";279,42
"230426 DEPUTADO IRAPUAN PINHEIRO";230,02
"230427 ERERE";239,92
"230428 EUSEBIO";605,08
"230430 FARIAS BRITO";227,42
"230435 FORQUILHA";291,33
"230440 FORTALEZA";812,61
"230445 FORTIM";261,19
"230450 FRECHEIRINHA";244,39
"230460 GENERAL SAMPAIO";239,32
"230465 GRACA";192,89
"230470 GRANJA";170,49
"230480 GRANJEIRO";221,06
"230490 GROAIRAS";303,35
"230495 GUAIUBA";231,79
"230500 GUARACIABA DO NORTE";242,80
