 Taxa de analfabetismo - Ceará
Taxa de analfabetismo por Município
Período:2010
"Município";"Taxa_de_analfabetismo"
"230010 ABAIARA";28,4
"230015 ACARAPE";21,5
"230020 ACARAU";28,3
"230030 ACOPIARA";32,9
"230040 AIUABA";34,3
"230050 ALCANTARAS";28,3
"230060 ALTANEIRA";33,1
"230070 ALTO SANTO";28,5
"230075 AMONTADA";25,0
"230080 ANTONINA DO NORTE";31,5
"230090 APUIARES";25,2
"230100 AQUIRAZ";20,1
"230110 ARACATI";19,3
"230120 ARACOIABA";29,9
"230125 ARARENDA";34,2
"230130 ARARIPE";31,1
"230140 ARATUBA";24,3
"230150 ARNEIROZ";30,0
"230160 ASSARE";31,3
"230170 AURORA";26,8
"230180 BAIXIO";23,8
"230185 BANABUIU";27,8
"230190 BARBALHA";17,6
"230195 BARREIRA";25,7
"230200 BARRO";23,5
"230205 BARROQUINHA";35,7
"230210 BATURITE";21,8
"230220 BEBERIBE";24,5
"230230 BELA CRUZ";25,1
"230240 BOA VIAGEM";32,3
"230250 BREJO SANTO";21,6
"230260 CAMOCIM";26,3
"230270 CAMPOS SALES";26,8
"230280 CANINDE";23,6
"230290 CAPISTRANO";25,4
"230300 CARIDADE";28,3
"230310 CARIRE";29,0
"230320 CARIRIACU";29,7
"230330 CARIUS";31,4
"230340 CARNAUBAL";29,0
"230350 CASCAVEL";21,4
"230360 CATARINA";30,3
"230365 CATUNDA";26,6
"230370 CAUCAIA";12,4
"230380 CEDRO";28,2
"230390 CHAVAL";31,8
"230393 CHORO";31,6
"230395 CHOROZINHO";27,9
"230400 COREAU";35,7
"230410 CRATEUS";24,5
"230420 CRATO";13,9
"230423 CROATA";35,5
"230425 CRUZ";24,6
"230426 DEPUTADO IRAPUAN PINHEIRO";32,2
"230427 ERERE";30,5
"230428 EUSEBIO";13,3
"230430 FARIAS BRITO";27,1
"230435 FORQUILHA";24,4
"230440 FORTALEZA";6,8
"230445 FORTIM";25,2
"230450 FRECHEIRINHA";32,5
"230460 GENERAL SAMPAIO";31,7
"230465 GRACA";34,5
"230470 GRANJA";39,2
"230480 GRANJEIRO";28,2
"230490 GROAIRAS";24,0
"230495 GUAIUBA";22,5
"230500 GUARACIABA DO NORTE";28,0
"230510 GUARAMIRANGA";17,5
"230520 HIDROLANDIA";28,9
"230523 HORIZONTE";15,3
"230526 IBARETAMA";32,5
"230530 IBIAPINA";23,6
"230533 IBICUITINGA";27,8
"230535 ICAPUI";25,4
"230540 ICO";30,4
"230550 IGUATU";22,2
"230560 INDEPENDENCIA";27,4
"230565 IPAPORANGA";35,6
"230570 IPAUMIRIM";26,3
"230580 IPU";27,6
