Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,ASR (World),Crude rate,Cumulative risk
MNG,39,496,496,Mongolia,0,4929,181.5,145.9,19.1
HUN,39,348,348,Hungary,0,32482,143.7,338.1,15.8
ZWE,39,716,716,Zimbabwe,0,11739,144.0,76.6,15.2
ROU,39,642,642,Romania,0,56216,132.5,295.4,14.6
POL,39,616,616,Poland,0,119992,133.1,318.0,14.5
BLR,39,112,112,Belarus,0,22644,123.5,240.1,14.3
MDA,39,498,498,Moldova,0,8148,122.8,203.0,14.3
SRB,39,688,688,Serbia,0,23881,128.4,276.0,14.1
WSM,39,882,882,Samoa,0,208,126.3,102.9,13.9
LTU,39,440,440,Lithuania,0,8349,125.0,313.7,13.9
URY,39,858,858,Uruguay,0,8980,128.3,256.9,13.7
LVA,39,428,428,Latvia,0,5872,122.9,317.6,13.7
HRV,39,191,191,Croatia,0,13854,125.7,341.3,13.6
PYF,39,258,258,French Polynesia,0,481,122.3,169.3,13.6
SVK,39,703,703,Slovakia,0,15166,125.7,277.8,13.5
MNE,39,499,499,Montenegro,0,1535,121.4,244.5,13.1
BIH,39,070,70,Bosnia Herzegovina,0,8590,116.1,264.4,13.0
ARM,39,051,51,Armenia,0,5861,116.7,197.2,12.9
RUS,39,643,643,Russian Federation,0,311729,110.5,213.8,12.8
EST,39,233,233,Estonia,0,4086,114.4,309.1,12.7
MKD,39,807,807,North Macedonia,0,4364,112.5,209.7,12.7
BGR,39,100,100,Bulgaria,0,18794,114.2,274.6,12.6
TUR,39,792,792,Türkiye,0,129672,116.1,151.6,12.5
PRK,39,408,408,"Korea, Democratic People Republic of",0,42789,113.9,164.6,12.5
SVN,39,705,705,Slovenia,0,6898,116.7,332.0,12.3
GEO,39,268,268,Georgia,0,8459,111.7,213.1,12.3
NCL,39,540,540,New Caledonia,0,467,113.2,160.5,12.1
PNG,39,598,598,Papua New Guinea,0,7200,119.8,77.5,12.0
MWI,39,454,454,Malawi,0,13979,117.9,69.3,12.0
UGA,39,800,800,Uganda,0,24629,113.9,50.9,12.0
BRB,39,052,52,Barbados,0,738,113.3,256.2,12.0
PHL,39,608,608,Philippines,0,113369,112.9,100.8,12.0
UKR,39,804,804,Ukraine,0,84153,101.1,194.8,12.0
JAM,39,388,388,Jamaica,0,4632,116.6,155.2,11.9
ZAF,39,710,710,South Africa,0,64547,122.5,106.2,11.8
CUB,39,192,192,Cuba,0,27724,110.2,245.2,11.7
LAO,39,418,418,"Lao People's Democratic Republic",0,6215,109.9,83.1,11.7
CYP,39,196,196,Cyprus,0,2837,111.5,231.9,11.5
NAM,39,516,516,Namibia,0,1940,113.0,73.7,11.4
BHS,39,044,44,Bahamas,0,552,109.2,137.8,11.4
CZE,39,203,203,Czechia,0,28071,103.8,261.5,11.4
ZMB,39,894,894,Zambia,0,9770,109.2,50.2,11.3
PRT,39,620,620,Portugal,0,33762,109.0,332.9,11.2
EGY,39,818,818,Egypt,0,95275,107.7,89.8,11.2
FRA,39,250,250,France (metropolitan),0,190612,106.7,290.6,11.2
SGP,39,702,702,Singapore,0,13277,110.8,223.4,11.1
KEN,39,404,404,Kenya,0,29317,104.0,52.2,11.1
BFA,39,854,854,Burkina Faso,0,10998,98.5,49.8,11.1
DNK,39,208,208,Denmark,0,17204,106.5,294.8,11.0
ARG,39,032,32,Argentina,0,70251,102.7,152.7,11.0
BRN,39,096,96,Brunei Darussalam,0,464,104.6,104.2,10.9
VNM,39,704,704,Viet Nam,0,120184,99.0,121.5,10.9
MLI,39,466,466,Mali,0,10678,102.4,49.7,10.8
NLD,39,528,528,The Netherlands,0,49790,103.2,289.3,10.7
DEU,39,276,276,Germany,0,253170,99.7,301.8,10.7
KAZ,39,398,398,Kazakhstan,0,20686,92.1,107.7,10.7
GUM,39,316,316,Guam,0,267,101.1,155.7,10.6
GRC,39,300,300,Greece,0,32385,100.6,313.9,10.6
BDI,39,108,108,Burundi,0,5760,98.7,45.6,10.6
PSE,39,275,275,Gaza Strip and West Bank,0,3011,98.0,56.3,10.5
MMR,39,104,104,Myanmar,0,54841,97.1,99.3,10.4
ALB,39,008,8,Albania,0,4955,90.5,172.9,10.4
KHM,39,116,116,Cambodia,0,13799,99.3,80.4,10.3
CHN,39,156,160,China,0,2574176,96.5,182.3,10.3
